iso_code,continent,location,N_Year,N_Month,N_YM,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate
TUN,Africa,Tunisia,2021,8,202108,19464522.0,74469.0,677421.0,3765.0,1630773.027,6239.149,56755.56299999999,315.43699999999995,28.189999999999998
BDI,Africa,Burundi,2020,4,202004,183.0,9.0,18.0,1.0,14.938,0.735,1.4760000000000002,0.082,0.0
TKL,Oceania,Tokelau,2021,10,202110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BFA,Africa,Burkina Faso,2020,11,202011,79775.0,386.0,2028.0,1.0,3710.964000000001,17.958000000000002,94.33799999999995,0.047,37.49999999999999
MYS,Asia,Malaysia,2020,8,202008,284350.0,364.0,3880.0,2.0,8675.506,11.112000000000002,118.38599999999991,0.062,31.97
POL,Europe,Poland,2020,6,202006,890824.0,10607.0,38238.0,399.0,23568.64299999999,280.628,1011.6669999999998,10.557,28.950000000000006
ETH,Africa,Ethiopia,2020,6,202006,106607.0,4674.0,1683.0,92.0,904.3970000000004,39.650999999999996,14.277000000000001,0.7730000000000004,35.400000000000006
ERI,Africa,Eritrea,2022,1,202201,134555.0,899.0,1299.0,11.0,37361.215,249.621,360.691,3.0560000000000005,18.48
SEN,Africa,Senegal,2020,9,202009,432699.0,1371.0,8939.0,27.0,25162.320000000007,79.72900000000001,519.8220000000001,1.5660000000000007,23.990000000000002
MAC,Asia,Macao,2020,2,202002,283.0,3.0,0.0,0.0,429.8480000000002,4.5569999999999995,0.0,0.0,0.0
OMN,Asia,Oman,2020,3,202003,1700.0,186.0,1.0,1.0,325.46,35.608,0.191,0.191,6.71
BOL,South America,Bolivia,2020,8,202008,3085662.0,39809.0,126236.0,2050.0,260768.92599999998,3364.2560000000003,10668.189,173.245,29.0
