iso_code,continent,location,LY,LW,total_cases_LY,new_cases_LY,total_deaths_LY,new_deaths_LY,reproduction_rate_LY,CY,CW,total_cases_CT,new_cases_CT,total_deaths_CT,new_deaths_CT,reproduction_rate_CT
TWN,Asia,Taiwan,2020,46,4105.0,27.0,49.0,0.0,8.48,2021,46,115213.0,41.0,5934.0,1.0,7.48
OMN,Asia,Oman,2020,38,637083.0,3416.0,5626.0,56.0,9.89,2021,38,2122686.0,385.0,28634.0,8.0,5.24
PAK,Asia,Pakistan,2020,23,72460.0,2964.0,1543.0,60.0,1.38,2021,23,1843877.0,3888.0,41629.0,114.0,1.59
PAK,Asia,Pakistan,2020,23,524300.0,26483.0,10854.0,459.0,8.339999999999998,2021,23,1843877.0,3888.0,41629.0,114.0,1.59
OWID_ASI,,Asia,2020,28,19190365.0,379769.0,459303.0,7888.0,0.0,2021,28,398386057.0,1161422.0,5686626.0,19145.0,0.0
NZL,Oceania,New Zealand,2020,32,10979.0,4.0,154.0,0.0,7.0600000000000005,2021,32,20159.0,13.0,182.0,0.0,7.8100000000000005
TGO,Africa,Togo,2020,29,5201.0,64.0,105.0,0.0,8.049999999999999,2021,29,100784.0,370.0,939.0,4.0,9.509999999999998
DEU,Europe,Germany,2020,40,893940.0,7114.0,28558.0,36.0,3.76,2021,40,8504604.0,15770.0,187572.0,76.0,2.02
DEU,Europe,Germany,2020,40,1158354.0,7887.0,37910.0,36.0,4.78,2021,40,8504604.0,15770.0,187572.0,76.0,2.02
KHM,Asia,Cambodia,2020,13,652.0,46.0,0.0,0.0,0.0,2021,13,13217.0,569.0,38.0,6.0,9.929999999999998
BDI,Africa,Burundi,2020,27,722.0,21.0,4.0,0.0,2.41,2021,27,21651.0,104.0,32.0,0.0,4.44
BDI,Africa,Burundi,2020,27,510.0,0.0,3.0,0.0,1.8599999999999999,2021,27,21651.0,104.0,32.0,0.0,4.44
MLI,Africa,Mali,2020,22,7952.0,235.0,493.0,13.0,7.8500000000000005,2021,22,99779.0,25.0,3603.0,4.0,4.59
MAC,Asia,Macao,2020,46,322.0,0.0,0.0,0.0,0.0,2021,46,539.0,0.0,0.0,0.0,0.0
MWI,Africa,Malawi,2020,16,111.0,5.0,14.0,0.0,0.0,2021,16,237189.0,114.0,7933.0,9.0,5.2299999999999995
LCA,North America,Saint Lucia,2020,42,214.0,4.0,0.0,0.0,0.0,2021,42,84600.0,236.0,1611.0,12.0,5.690000000000001
OWID_AFR,,Africa,2020,25,1877249.0,64148.0,50472.0,1665.0,0.0,2021,25,35744615.0,153814.0,951020.0,2691.0,0.0
MLT,Europe,Malta,2020,49,19625.0,264.0,270.0,5.0,1.96,2021,49,158869.0,430.0,1872.0,0.0,4.7
